problem,num_qubits,density,seed,fraction,gs,fes,gap
maxcut,10,0.5,777,0.7,-11.8368,-11.7781,0.0587
maxcut,10,0.5,777,0.8,-12.7199,-12.713,0.0069
maxcut,10,0.5,777,0.9,-13.7967,-13.7965,0.0002
maxcut,10,0.5,777,1.0,-15.0,-14.0,1.0
maxcut,10,0.6,777,0.0,-10.0,-8.0,2.0
maxcut,10,0.6,777,0.1,-10.4181,-8.7564,1.6617
maxcut,10,0.6,777,0.2,-10.8762,-9.549,1.3272
maxcut,10,0.6,777,0.3,-11.3831,-10.386,0.9971
maxcut,10,0.6,777,0.4,-11.9553,-11.2798,0.6755
maxcut,10,0.6,777,0.5,-12.6252,-12.249,0.3762
maxcut,10,0.6,777,0.6,-13.4593,-13.3206,0.1387
maxcut,10,0.6,777,0.7,-14.5506,-14.5275,0.0231
